S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
8889	19302	2	10415	NC_045512.2	NODE_1_length_10441_cov_333.542654	99.98		True
CONTIG	NODE_1_length_10441_cov_333.542654	10441	correct
19317	25673	1	6357	NC_045512.2	NODE_2_length_6357_cov_220.316566	99.95		True
CONTIG	NODE_2_length_6357_cov_220.316566	6357	correct
3924	8661	4738	1	NC_045512.2	NODE_3_length_4738_cov_324.332266	100.0		True
CONTIG	NODE_3_length_4738_cov_324.332266	4738	correct
CONTIG	NODE_4_length_4070_cov_5.193275	4070	unaligned
25674	29703	1	4029	NC_045512.2	NODE_5_length_4051_cov_368.676927	99.85		True
CONTIG	NODE_5_length_4051_cov_368.676927	4051	correct
43	2937	55	2949	NC_045512.2	NODE_6_length_2949_cov_344.175881	100.0		True
CONTIG	NODE_6_length_2949_cov_344.175881	2949	correct
2883	3853	971	1	NC_045512.2	NODE_7_length_971_cov_196.997817	100.0		True
CONTIG	NODE_7_length_971_cov_196.997817	971	correct
CONTIG	NODE_8_length_845_cov_3.384810	845	unaligned
CONTIG	NODE_9_length_517_cov_1.017316	517	unaligned
