chrom	start	end	region	coverage	sample
NC_045512.2	30	410	nCoV-2019_1	42	SAMPLE1_PE
NC_045512.2	320	726	nCoV-2019_2	39	SAMPLE1_PE
NC_045512.2	642	1028	nCoV-2019_3	117	SAMPLE1_PE
NC_045512.2	943	1337	nCoV-2019_4	118	SAMPLE1_PE
NC_045512.2	1242	1651	nCoV-2019_5	74	SAMPLE1_PE
NC_045512.2	1573	1964	nCoV-2019_6	89	SAMPLE1_PE
NC_045512.2	1875	2269	nCoV-2019_7	97	SAMPLE1_PE
NC_045512.2	2181	2592	nCoV-2019_8	74	SAMPLE1_PE
NC_045512.2	2505	2904	nCoV-2019_9	76	SAMPLE1_PE
NC_045512.2	2826	3210	nCoV-2019_10	48	SAMPLE1_PE
NC_045512.2	3144	3531	nCoV-2019_11	88	SAMPLE1_PE
NC_045512.2	3460	3853	nCoV-2019_12	61	SAMPLE1_PE
NC_045512.2	3771	4164	nCoV-2019_13	17	SAMPLE1_PE
NC_045512.2	4054	4450	nCoV-2019_14	88	SAMPLE1_PE
NC_045512.2	4294	4696	nCoV-2019_15	18	SAMPLE1_PE
NC_045512.2	4636	5017	nCoV-2019_16	115	SAMPLE1_PE
NC_045512.2	4939	5321	nCoV-2019_17	17	SAMPLE1_PE
NC_045512.2	5230	5644	nCoV-2019_18	34	SAMPLE1_PE
NC_045512.2	5563	5957	nCoV-2019_19	50	SAMPLE1_PE
NC_045512.2	5867	6272	nCoV-2019_20	50	SAMPLE1_PE
NC_045512.2	6167	6550	nCoV-2019_21	40	SAMPLE1_PE
NC_045512.2	6466	6873	nCoV-2019_22	192	SAMPLE1_PE
NC_045512.2	6718	7117	nCoV-2019_23	94	SAMPLE1_PE
NC_045512.2	7035	7415	nCoV-2019_24	128	SAMPLE1_PE
NC_045512.2	7305	7694	nCoV-2019_25	137	SAMPLE1_PE
NC_045512.2	7626	8019	nCoV-2019_26	54	SAMPLE1_PE
NC_045512.2	7943	8341	nCoV-2019_27	55	SAMPLE1_PE
NC_045512.2	8249	8661	nCoV-2019_28	13	SAMPLE1_PE
NC_045512.2	8595	8983	nCoV-2019_29	0	SAMPLE1_PE
NC_045512.2	8888	9271	nCoV-2019_30	71	SAMPLE1_PE
NC_045512.2	9204	9585	nCoV-2019_31	62	SAMPLE1_PE
NC_045512.2	9477	9858	nCoV-2019_32	50	SAMPLE1_PE
NC_045512.2	9784	10171	nCoV-2019_33	100	SAMPLE1_PE
NC_045512.2	10076	10459	nCoV-2019_34	136	SAMPLE1_PE
NC_045512.2	10362	10763	nCoV-2019_35	64	SAMPLE1_PE
NC_045512.2	10666	11074	nCoV-2019_36	47	SAMPLE1_PE
NC_045512.2	10999	11394	nCoV-2019_37	102	SAMPLE1_PE
