S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
8889	19302	2	10415	NC_045512.2	NODE_1_length_10482_cov_227.257943	99.98		True
CONTIG	NODE_1_length_10482_cov_227.257943	10482	correct
19317	25673	1	6357	NC_045512.2	NODE_2_length_6357_cov_149.285714	99.95		True
CONTIG	NODE_2_length_6357_cov_149.285714	6357	correct
25674	29664	1	3990	NC_045512.2	NODE_3_length_4107_cov_249.464322	99.85		True
CONTIG	NODE_3_length_4107_cov_249.464322	4107	correct
CONTIG	NODE_4_length_4070_cov_3.608166	4070	unaligned
31	3853	3823	1	NC_045512.2	NODE_5_length_3823_cov_218.151786	100.0		True
CONTIG	NODE_5_length_3823_cov_218.151786	3823	correct
5485	8661	1	3177	NC_045512.2	NODE_6_length_3177_cov_259.184590	100.0		True
CONTIG	NODE_6_length_3177_cov_259.184590	3177	correct
3923	5484	1562	1	NC_045512.2	NODE_7_length_1562_cov_146.044405	100.0		True
CONTIG	NODE_7_length_1562_cov_146.044405	1562	correct
CONTIG	NODE_8_length_845_cov_2.520891	845	unaligned
CONTIG	NODE_9_length_517_cov_0.835897	517	unaligned
